干旱,causality,大豆减产
钢材利润下行,causality,焦炭吨毛利被压缩
菜籽压榨量减少,causality,菜油供应减少
非洲猪瘟,causality,猪肉价格持续攀升
非洲猪瘟,causality,生猪养殖利润持续上行
猪肉供不应求,causality,猪肉价格持续攀升
猪肉供不应求,causality,生猪养殖利润持续上行
干旱,causality,产量大幅下调
非洲猪瘟,causality,生猪存栏持续下降
开工降低,causality,铁矿石需求下降
猪场补栏,causality,生猪养殖效率
猪场补栏,causality,进口猪肉量持续增长
非洲猪瘟,causality,生猪出栏加快
猪肉供应增多,causality,猪肉价格下跌
玻璃需求下滑,causality,纯碱需求显著下降
进口煤放开,causality,供大于求
进口煤放开,causality,煤炭价格下降
柴油价格不断上涨,causality,重卡需求的减少
菜油供应减少,causality,价格大幅上涨
供给因素,causality,铁矿价格大涨
猪瘟事件,causality,豆粕的需求锐减
产销进一步下行,causality,钢材需求下滑
养猪户补栏积极性不高,causality,饲料需求降低
生猪存栏持续下降,causality,饲料需求降低
非洲猪瘟,causality,生猪存栏量减少
疫情,causality,生猪存栏量减少
PX价格节节攀升,causality,生产利润亏损逐渐加大
种子需求端增加,causality,种子供给端预期产量减少
极端天气,causality,种子供给端预期产量减少
用煤需求低迷,causality,煤炭消费量和煤价出现大幅下降
非洲猪瘟,causality,生猪产能深度去化
非洲猪瘟,causality,猪肉供给缺口大幅增加
疫情,causality,生猪产能深度去化
疫情,causality,猪肉供给缺口大幅增加
产能过剩,causality,大宗化工品格跌入低位
消费减少,causality,菜油供应减少
非洲猪瘟,causality,生猪被大量抛售
非洲猪瘟,causality,市场供给激增
疫情,causality,生猪被大量抛售
疫情,causality,市场供给激增
产能过剩,causality,价格下降
铝土矿供给收缩,causality,氧化铝产量下降
洪涝灾害,causality,蔬菜供给短缺
干旱,causality,玉米减产
寒冷,causality,仔猪疫病
寒冷,causality,存栏量下降
补栏需求增加,causality,仔猪供需紧张
补栏需求增加,causality,价格上涨
非洲猪瘟,causality,生猪存栏大幅下降
非洲猪瘟,causality,大豆口需求萎缩
疫情,causality,生猪存栏大幅下降
疫情,causality,大豆口需求萎缩
大旱,causality,玉米等粮食减产
生猪存栏量加速下滑,causality,猪肉价格持续攀升
生猪存栏量加速下滑,causality,生猪养殖利润持续上行
原奶供过于求,causality,原奶价格持续低迷
磷矿石价格上涨,causality,生产商毛利率较低
产量压缩,causality,库存下降
大宗品需求下滑,causality,价格下跌
非洲猪瘟,causality,生猪屠宰求下滑
生猪出栏量下滑,causality,生猪屠宰求下滑
非洲猪瘟,causality,生猪存栏下降
电力紧张,causality,电解铝企业减产
利润下滑,causality,雏鸡补栏不足
铁矿石价格下滑,causality,成本端下降
非洲猪瘟,causality,产能减少
非洲猪瘟,causality,猪肉价格严重分化
非洲猪瘟,causality,跨省运输停滞
非洲猪瘟,causality,生猪养殖企业大面积亏损
猪肉产能减少,causality,生猪价格仍将维持高位运行
生,causality,运输价格
生,causality,饲料原料价格连续上涨
巴西矿难,causality,铁矿石全年供应下降
飓风,causality,铁矿石全年供应下降
国内供给收缩,causality,焦煤价格持续上涨
澳洲煤进口限制,causality,焦煤价格持续上涨
春耕、北方小麦返青肥,causality,价格稳中上涨
水稻用肥需求增加,causality,价格稳中上涨
7-ACA市场价格大幅下跌,causality,原料药销售价格随之下跌
寒潮,causality,农产品价格继续攀升
国,causality,炼油损耗逐月扩大
国,causality,成品油销售受阻
国,causality,库存跌价
汽柴油价格下调,causality,炼油损耗逐月扩大
汽柴油价格下调,causality,成品油销售受阻
汽柴油价格下调,causality,库存跌价
利润下滑,causality,煤炭价格大幅上涨
煤炭价格大幅上涨,causality,煤炭成本大幅增加
自然灾害,causality,用肥量锐减
南,causality,豆类油脂价格利空
大豆供求宽松,causality,豆类油脂价格利空
重卡销量的下降,causality,毛利率较高
重卡销量的下降,causality,销量出现下滑
钢铝价格上涨,causality,通胀超预期上行
畜禽养殖行业需求不足,causality,国内饲料需求旺季不旺
畜禽养殖行业需求不足,causality,饲料添加剂市场较为冷淡
畜禽养殖行业需求不足,causality,市场行情较为冷清
洪水,causality,菜价禽价上涨
国际贸易保护愈演愈烈,causality,特钢出口难度进一步加大
贸易摩擦升级,causality,特钢出口难度进一步加大
多国进口贸易量减少,causality,特钢出口难度进一步加大
石化产业链出现大幅亏损,causality,产品柴油销售不畅
石化产业链出现大幅亏损,causality,价格下滑
成品油市场低迷,causality,产品柴油销售不畅
成品油市场低迷,causality,价格下滑
生猪存栏、能繁母猪存栏量持续下降,causality,下游需求疲软
生猪存栏、能繁母猪存栏量持续下降,causality,维生素库存较高
生猪存栏、能繁母猪存栏量持续下降,causality,价格缺乏支撑
新增木浆产能如期投放,causality,国内
新增木浆产能如期投放,causality,木浆价格上涨
新增木浆产能如期投放,causality,白卡纸价格上行
猪肉价格持续攀升,causality,鸡蛋现货普涨
放,causality,棉价明显回落
订单和采购都出现下滑,causality,棉价明显回落
环保限产,causality,草甘膦价格大幅上涨
草甘膦主要原材料甘氨酸供应紧张,causality,草甘膦价格大幅上涨
价格飙涨,causality,草甘膦价格大幅上涨
母猪存栏增长放慢,causality,生猪供应
仔猪死亡率的增加,causality,生猪供应偏紧
猪肉价格快速非正常性下跌,causality,食品价格的环比快速下跌
白糖价格下跌,causality,糖业亏损
成本上升,causality,糖业亏损
棉花种植面积下降,causality,棉花供给不足
棉花种植面积下降,causality,价格大幅上扬
棉花种植面积下降,causality,棉短绒供给下降
价格大幅上涨,causality,棉短绒供给下降
钢铁价格反弹,causality,焦炭价格上涨
光棒供给恢复,causality,光纤价格回落
白银需求上涨,causality,价格推升
黄磷市场供给大幅减少,causality,磷酸盐市场景气上行
黄磷价格上涨,causality,磷酸盐市场景气上行
环保,causality,铝土矿矿山关停
玉米高价,causality,玉米需求量下降
干旱,causality,牧草供给下降
干旱,causality,奶牛养殖成本攀升
育雏鸡补栏量持续减少,causality,青年鸡存栏量减少
产能释放,causality,价格下降
油价下跌,causality,石化行业盈利暴跌
油价下跌,causality,拖累整体工业企业利润
LED技术不断进步,causality,降低成本
非洲猪瘟,causality,生猪外调受限
汽车行业景气度下滑,causality,销售和盈利能力有所下降
需求增速放缓,causality,航空业上半年业绩将出现下滑
油价同比上涨,causality,航空业上半年业绩将出现下滑
人民币贬值,causality,航空业上半年业绩将出现下滑
水产养殖需求减少,causality,豆粕费持续降低
非洲猪瘟,causality,豆粕费持续降低
养殖企业补栏谨慎,causality,豆粕费持续降低
市场生猪养殖量下降,causality,豆粕费持续降低
生猪存栏持续下降,causality,豆粕费大降
锡精矿给下滑,causality,供需矛盾激化
煤价持续下降,causality,企业燃料成本降低
轮胎业销售不佳,causality,合成胶价格大跌
库存高企,causality,合成胶价格大跌
开工降低,causality,合成胶价格大跌
供应收紧,causality,磷酸一铵价格上涨
下游复合肥购需求增加,causality,磷酸一铵价格上涨
蛋白需求的增加,causality,豆油库存不断增长
进口大豆充足供应,causality,豆油库存不断增长
氧化铈前期价格攀升,causality,下游抛光粉产业陷入低迷
下游抛光粉产业陷入低迷,causality,氧化铈需求疲弱
销售下滑,causality,库存有所增加
销售下滑,causality,钢价有所回落
存栏量下降,causality,公司饲料量有所下滑
错峰生产,causality,企业库存较低
环保督查,causality,熟料供给短
熟料供给短缺,causality,水泥价格快速上涨
页岩气供给的增加,causality,原油大幅下跌
原油进口量回落,causality,原油大幅下跌
生物燃料费增加,causality,棕榈油库存减少
非洲猪瘟,causality,生猪养殖产能大幅下降
供给增加,causality,PX价格下降
铁矿发货量供给收缩,causality,价格远强于钢价化
焦炭价格下跌,causality,焦煤的比价优势减小
停、限产现象,causality,炭黑原料价格大幅上涨
美元大幅贬值,causality,石油价格显著
需求疲软,causality,国际煤价继续低位运行
原油出口下滑,causality,石油生产中断
原油出口下滑,causality,原油价格上涨
飓风,causality,石油生产中断
飓风,causality,原油价格上涨
商用车的疲软,causality,动力电池下降
外盘报价下跌,causality,悲观情绪蔓延
原糖供给过剩,causality,原糖下跌
督察,causality,重稀土原料的供给紧张
稀土进口受阻,causality,重稀土原料的供给紧张
生猪供应偏紧,causality,鲜果、猪肉价格上涨
鲜菜、鸡蛋供应增加,causality,价格下降
宏观经济下行,causality,电量减发
宏观经济下行,causality,燃煤价格继续高企
猪肉供应增多,causality,猪价大涨
猪肉供应增多,causality,需求增加
鸡蛋消费需求回升,causality,鸡蛋价格上涨
存栏量下降,causality,畜用疫苗需求量下降
存栏量下降,causality,疫苗收入下降
供给提升,causality,油价的进一步下跌
非洲猪瘟,causality,生猪存栏大幅下滑
非洲猪瘟,causality,玉米用消费量大幅减少
非洲猪瘟,causality,供需缺口有所缩小
非洲猪瘟,causality,生猪价格攀升
生猪产能下降,causality,生猪价格攀升
